country,state,city,ibgeID,deaths,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases
Brazil,CE,Araripe,2301307,0,1,0.00000,4.62963,0.00000
Brazil,PE,Araripina,2601102,0,7,0.00000,8.29207,0.00000
Brazil,RJ,Araruama,3300209,2,43,1.51057,32.47734,0.04651
Brazil,PR,Araruna,4101705,1,15,7.15820,107.37294,0.06667
Brazil,BA,Arataca,2902252,0,2,0.00000,18.15047,0.00000
Brazil,CE,Aratuba,2301406,0,2,0.00000,16.88191,0.00000
Brazil,PR,Araucária,4101804,0,11,0.00000,7.64723,0.00000
Brazil,SE,Arauá,2800407,0,1,0.00000,9.94431,0.00000
Brazil,MG,Araxá,3104007,1,8,0.94136,7.53090,0.12500
Brazil,PB,Araçagi,2500809,0,4,0.00000,23.54742,0.00000
Brazil,SP,Araçariguama,3502754,1,5,4.47147,22.35736,0.20000
Brazil,SP,Araçatuba,3502804,3,91,1.52272,46.18914,0.03297
Brazil,SP,Araçoiaba da Serra,3502903,0,9,0.00000,26.35741,0.00000
Brazil,PE,Araçoiaba,2601052,2,10,9.74469,48.72345,0.20000
Brazil,MG,Arceburgo,3104106,0,3,0.00000,27.84998,0.00000
Brazil,MG,Arcos,3104205,0,7,0.00000,17.45984,0.00000
Brazil,PE,Arcoverde,2601201,7,34,9.41645,45.73704,0.20588
Brazil,RJ,Areal,3300225,0,6,0.00000,47.72510,0.00000
Brazil,SP,Arealva,3503406,0,1,0.00000,11.68224,0.00000
Brazil,RN,Areia Branca,2401107,1,36,3.60049,129.61763,0.02778
Brazil,SE,Areia Branca,2800506,0,7,0.00000,37.75213,0.00000
Brazil,PB,Areia,2501104,0,4,0.00000,17.52925,0.00000
Brazil,SP,Areiópolis,3503604,0,6,0.00000,53.91320,0.00000
Brazil,MT,Aripuanã,5101407,1,3,4.47347,13.42042,0.33333
Brazil,RO,Ariquemes,1100023,0,121,0.00000,112.17934,0.00000
Brazil,SC,Armazém,4201505,0,21,0.00000,242.10284,0.00000
Brazil,RJ,Armação dos Búzios,3300233,0,20,0.00000,59.04931,0.00000
Brazil,CE,Arneiroz,2301505,0,15,0.00000,191.32653,0.00000
Brazil,PI,Aroazes,2200905,0,1,0.00000,17.13796,0.00000
Brazil,PB,Aroeiras,2501302,0,1,0.00000,5.22111,0.00000
Brazil,RJ,Arraial do Cabo,3300258,2,14,6.59000,46.13002,0.14286
Brazil,RS,Arroio do Meio,4301008,0,30,0.00000,144.19611,0.00000
Brazil,RS,Arroio do Sal,4301057,1,3,9.93542,29.80626,0.33333
Brazil,RS,Arroio dos Ratos,4301107,0,4,0.00000,28.26655,0.00000
Brazil,SP,Artur Nogueira,3503802,0,6,0.00000,11.02779,0.00000
Brazil,SP,Arujá,3503901,5,110,5.56644,122.46170,0.04545
Brazil,SC,Arvoredo,4201653,0,3,0.00000,133.92857,0.00000
Brazil,RS,Arvorezinha,4301404,0,1,0.00000,9.59325,0.00000
Brazil,RN,Arês,2401206,0,1,0.00000,6.99007,0.00000
Brazil,CE,Assaré,2301604,0,1,0.00000,4.27040,0.00000
Brazil,PR,Assaí,4101903,0,1,0.00000,6.61419,0.00000
Brazil,AC,Assis Brasil,1200054,0,1,0.00000,13.48254,0.00000
Brazil,PR,Assis Chateaubriand,4102000,0,16,0.00000,47.95876,0.00000
Brazil,SP,Assis,3504008,3,23,2.87395,22.03361,0.13043
Brazil,MG,Astolfo Dutra,3104601,0,1,0.00000,7.05268,0.00000
Brazil,AM,Atalaia do Norte,1300201,0,1,0.00000,5.01983,0.00000
Brazil,AL,Atalaia,2700409,0,8,0.00000,16.95454,0.00000
Brazil,SP,Atibaia,3504107,2,42,1.40094,29.41980,0.04762
Brazil,ES,Atilio Vivacqua,3200706,0,0,0.00000,0.00000,0.00000
Brazil,TO,Augustinópolis,1702554,2,6,10.86248,32.58744,0.33333
Brazil,PA,Augusto Corrêa,1500909,2,29,4.34802,63.04622,0.06897
Brazil,BA,Aurelino Leal,2902401,0,1,0.00000,8.67227,0.00000
Brazil,SP,Auriflama,3504206,0,0,0.00000,0.00000,0.00000
Brazil,PA,Aurora do Pará,1500958,0,15,0.00000,47.86521,0.00000
Brazil,TO,Aurora do Tocantins,1702703,0,1,0.00000,26.61698,0.00000
Brazil,CE,Aurora,2301703,1,1,4.05614,4.05614,1.00000
Brazil,SC,Aurora,4201901,0,1,0.00000,17.60873,0.00000
Brazil,AM,Autazes,1300300,16,162,40.43978,409.45280,0.09877
Brazil,SP,Avanhandava,3504404,0,1,0.00000,7.32654,0.00000
Brazil,SP,Avaré,3504503,2,29,2.20617,31.98941,0.06897
Brazil,SP,Avaí,3504305,0,2,0.00000,37.01647,0.00000
Brazil,GO,Avelinópolis,5202809,0,1,0.00000,41.37360,0.00000
Brazil,TO,Axixá do Tocantins,1702901,0,12,0.00000,123.00123,0.00000
Brazil,MA,Axixá,2101103,0,5,0.00000,41.22012,0.00000
Brazil,MA,Açailândia,2100055,0,76,0.00000,67.58860,0.00000
Brazil,RN,Açu,2400208,3,55,5.17090,94.79980,0.05455
Brazil,MA,Bacabal,2101202,1,70,0.95284,66.69906,0.01429
Brazil,MA,Bacabeira,2101251,1,35,5.86338,205.21841,0.02857
Brazil,SP,Bady Bassitt,3504602,1,9,5.71363,51.42269,0.11111
Brazil,PA,Bagre,1501105,1,7,3.26020,22.82137,0.14286
Brazil,RS,Bagé,4301602,0,29,0.00000,23.93865,0.00000
Brazil,PI,Baixa Grande do Ribeiro,2201150,1,3,8.63111,25.89332,0.33333
Brazil,ES,Baixo Guandu,3200805,0,9,0.00000,29.03413,0.00000
Brazil,PA,Baião,1501204,2,21,4.21532,44.26084,0.09524
Brazil,SC,Balneário Arroio do Silva,4201950,1,6,7.65052,45.90314,0.16667
Brazil,SC,Balneário Barra do Sul,4202057,0,3,0.00000,27.79064,0.00000
Brazil,SC,Balneário Camboriú,4202008,2,124,1.40553,87.14291,0.01613
Brazil,SC,Balneário Gaivota,4202073,1,8,9.10830,72.86638,0.12500
Brazil,SC,Balneário Piçarras,4212809,0,9,0.00000,38.88193,0.00000
Brazil,SC,Balneário Rincão,4220000,0,2,0.00000,15.67398,0.00000
Brazil,PR,Balsa Nova,4102307,0,5,0.00000,38.63689,0.00000
Brazil,MA,Balsas,2101400,0,52,0.00000,54.80203,0.00000
